neighborhood,lat,long,noshow_rate,noshow_count
AEROPORTO,-20.25577549358285,-40.28293106763739,14.29,1
ANDORINHAS,-20.287170226830483,-40.30544273085256,22.16,456
ANTÔNIO HONÓRIO,-20.26313629123134,-40.297964242498765,19.37,43
ARIOVALDO FAVALESSA,-20.314596584437293,-40.35638409933439,21.8,58
BARRO VERMELHO,-20.294946444232245,-40.29834444221846,21.68,85
BELA VISTA,-20.30421277539247,-40.347764149609574,20.0,360
BENTO FERREIRA,-20.31570769759297,-40.3078217891621,22.94,175
BOA VISTA,-20.27132434345779,-40.299628651737585,17.85,53
BONFIM,-20.300533060362188,-40.31338284832133,18.93,481
CARATOÍRA,-20.3150910999335,-40.3528408816909,21.44,485
CENTRO,-20.31912492689935,-40.33362292363804,20.16,585
COMDUSA,-20.28741585277679,-40.33439677928421,18.24,54
CONQUISTA,-20.276594562783504,-40.324319795593055,18.03,143
CONSOLAÇÃO,-20.306492570058097,-40.31212945700059,17.33,217
CRUZAMENTO,-20.3099035346027,-40.32252583085213,18.89,208
DA PENHA,-20.296775304768182,-40.311864779733206,18.53,382
DE LOURDES,-20.306566795561665,-40.316312625588424,15.23,37
DO CABRAL,-20.31558670337263,-40.3473318385228,14.52,71
DO MOSCOSO,-20.31477161237954,-40.343251608119225,22.19,89
DO QUADRO,-20.31692346723626,-40.350052580941394,16.89,114
ENSEADA DO SUÁ,-20.313011394762974,-40.29178493804449,22.57,51
ESTRELINHA,-20.293833302736772,-40.34708474619393,19.69,100
FONTE GRANDE,-20.313070727565368,-40.33722432161315,20.7,112
FORTE SÃO JOÃO,-20.31855228221752,-40.324367488199435,17.41,303
FRADINHOS,-20.30691215450094,-40.32712067004524,15.1,29
GOIABEIRAS,-20.271629312693246,-40.30531682327297,19.34,117
GRANDE VITÓRIA,-20.288399040897495,-40.341246146431565,20.41,208
GURIGICA,-20.3067396798742,-40.30605389643062,22.3,429
HORTO,-20.30935168736134,-40.310395104233535,24.85,42
ILHA DAS CAIEIRAS,-20.27791516892353,-40.335498794435374,21.94,228
ILHA DE SANTA MARIA,-20.31464436616533,-40.31839689161524,16.07,235
ILHA DO BOI,-20.31046512158178,-40.28262685783968,8.57,3
ILHA DO FRADE,-20.301701489605218,-40.281458482251026,22.22,2
ILHA DO PRÍNCIPE,-20.321638210335855,-40.3504267308518,23.77,511
ILHAS OCEÂNICAS DE TRINDADE,-20.307829797788454,-40.27439451858618,100.0,2
INHANGUETÁ,-20.298755770573436,-40.34738725326244,19.4,193
ITARARÉ,-20.29610078845427,-40.307080577394046,25.99,790
JABOUR,-20.257835066803658,-40.292462592498836,17.13,360
JARDIM CAMBURI,-20.255198578220508,-40.268226682965874,15.23,821
JARDIM DA PENHA,-20.281832188732846,-40.29877065589884,6.0,566
JESUS DE NAZARETH,-20.31725962371761,-40.302980814671066,21.84,533
JOANA D´ARC,-20.284144083004193,-40.31820828366689,6.76,185
JUCUTUQUARA,-20.30874834698071,-40.3197007826998,14.92,77
MARIA ORTIZ,-20.257384416895288,-40.29821360912881,17.82,755
MARUÍPE,-20.297671711853237,-40.321032210373765,20.04,290
MATA DA PRAIA,-20.27546992032287,-40.294591731149794,16.81,101
MONTE BELO,-20.31351148874086,-40.314151853820974,17.08,103
MORADA DE CAMBURI,-20.271457550313993,-40.29647956005671,17.39,16
MÁRIO CYPRESTE,-20.319351973789168,-40.35545489074401,14.2,50
NAZARETH,-20.310211550677348,-40.316222650538094,15.31,15
NOVA PALESTINA,-20.272491918739124,-40.326968785107496,17.78,384
PARQUE INDUSTRIAL,-20.33844371831419,-40.33933395224938,0.0,0
PARQUE MOSCOSO,-20.319598971361177,-40.3421663750289,22.09,150
PIEDADE,-20.314170396613576,-40.3406855272459,18.18,72
PONTAL DE CAMBURI,-20.288646988366068,-40.298645763230724,16.67,11
PRAIA DO CANTO,-20.300231046061654,-40.29450568596271,17.85,161
PRAIA DO SUÁ,-20.312596607451066,-40.29839088297946,23.13,282
REDENÇÃO,-20.278687920856708,-40.32827590414481,16.79,244
REPÚBLICA,-20.270045296640347,-40.2930136284456,17.39,129
RESISTÊNCIA,-20.27265753614802,-40.31869713025175,16.99,605
ROMÃO,-20.313094396452954,-40.3250942790042,19.81,381
SANTA CECÍLIA,-20.303061845848937,-40.320562534225274,23.6,76
SANTA CLARA,-20.318581136606856,-40.34524785700512,27.11,119
SANTA HELENA,-20.30885968849017,-40.294289186954884,20.37,33
SANTA LUÍZA,-20.29132762855207,-40.30273865901801,17.75,71
SANTA LÚCIA,-20.30334084816526,-40.300889303262345,19.35,77
SANTA MARTHA,-20.287074344878924,-40.30958980863731,14.6,395
SANTA TEREZA,-20.310936026159496,-40.34891853366515,20.6,227
SANTO ANDRÉ,-20.279089605991107,-40.33278107355056,18.89,454
SANTO ANTÔNIO,-20.309166305862778,-40.3541810731382,17.25,436
SANTOS DUMONT,-20.301081696932577,-40.31720840044885,27.43,294
SANTOS REIS,-20.283436166649636,-40.334054268931105,20.0,104
SEGURANÇA DO LAR,-20.26284476076248,-40.29668802262262,16.67,20
SOLON BORGES,-20.26144643828956,-40.29521161098076,14.85,53
SÃO BENEDITO,-20.302324855847637,-40.30666533381881,19.38,264
SÃO CRISTÓVÃO,-20.292596203631092,-40.31488804193892,18.9,292
SÃO JOSÉ,-20.284822166328095,-40.32982467928447,21.01,394
SÃO PEDRO,-20.28287200500219,-40.33705278824369,21.07,487
TABUAZEIRO,-20.294947286809425,-40.323452860933585,17.36,477
UNIVERSITÁRIO,-20.29540566293663,-40.34007226209481,21.53,31
VILA RUBIM,-20.319530230455225,-40.3469142430574,17.59,121
